proj_name,workflow_path,java_version,unused_csv_file,unused_dirs
soot,.github/workflows/ci.yml,8,soot_ci-BuildAndTest_java_version_8.csv,target/classes/;lexer.dat;~target/classes/;parser.dat;~target/maven-status/~target/surefire-reports/~
soot,.github/workflows/ci.yml,9,soot_ci-BuildAndTest_java_version_9.csv,target/classes/;lexer.dat;~target/classes/;parser.dat;~target/maven-status/~target/surefire-reports/~
soot,.github/workflows/ci.yml,11,soot_ci-BuildAndTest_java_version_11.csv,target/classes/;lexer.dat;~target/classes/;parser.dat;~target/maven-status/~target/surefire-reports/~
soot,.github/workflows/ci.yml,11,soot_ci-StyleAndLicense.csv,
UniversalMediaServer,.github/workflows/ci.yaml,17,UniversalMediaServer_ci.yaml-linuxbionic_java-version_17.csv,target/maven-status/~target/surefire-reports/~
UniversalMediaServer,.github/workflows/ci.yaml,17,UniversalMediaServer_ci.yaml-linuxfocal_java-version_17.csv,target/maven-status/~target/surefire-reports/~
symphony,.github/workflows/ci.yml,11,symphony_ci-build.csv,target/maven-status/~target/symphony/~target/test-classes/~
fabric-sdk-java,.github/workflows/build.yml,8,fabric-sdk-java_build-test_java-version_8.csv,target/failsafe-reports/;org.hyperledger.fabric.sdkintegration.IntegrationSuite.txt;~target/failsafe-reports/;TEST-org.hyperledger.fabric.sdkintegration.IntegrationSuite.xml;~target/javadoc-bundle-options/;javadoc-options-javadoc-resources.xml;~target/maven-status/~target/surefire-reports/~target/test-classes/;bad-ca.crt;~target/test-classes/;ca.key;~target/test-classes/;create_EC_key_cert_for_testing.md;~target/test-classes/;log4j.properties;~target/test-classes/;policyBitsMember;~target/test-classes/;tls-client.crt;~target/test-classes/;tls-client.key;~target/test-classes/;tls-client-pk8.key;~
fabric-sdk-java,.github/workflows/build.yml,11,fabric-sdk-java_build-test_java-version_11.csv,target/failsafe-reports/;org.hyperledger.fabric.sdkintegration.IntegrationSuite.txt;~target/failsafe-reports/;TEST-org.hyperledger.fabric.sdkintegration.IntegrationSuite.xml;~target/javadoc-bundle-options/;javadoc-options-javadoc-resources.xml;~target/maven-status/~target/surefire-reports/~target/test-classes/;bad-ca.crt;~target/test-classes/;ca.key;~target/test-classes/;create_EC_key_cert_for_testing.md;~target/test-classes/;log4j.properties;~target/test-classes/;policyBitsMember;~target/test-classes/;tls-client.crt;~target/test-classes/;tls-client.key;~target/test-classes/;tls-client-pk8.key;~
fabric-sdk-java,.github/workflows/build.yml,17,fabric-sdk-java_build-test_java-version_17.csv,target/failsafe-reports/;org.hyperledger.fabric.sdkintegration.IntegrationSuite.txt;~target/failsafe-reports/;TEST-org.hyperledger.fabric.sdkintegration.IntegrationSuite.xml;~target/javadoc-bundle-options/;javadoc-options-javadoc-resources.xml;~target/maven-status/~target/surefire-reports/~target/test-classes/;bad-ca.crt;~
